country,sampling_id,lon,lat,air_pollutant,iso_code
France,SPO-FR24035_6001,7.24207,43.68929,PM2.5,FR
France,SPO-FR24036_5,7.28626,43.70208,PM10,FR
France,SPO-FR24036_5,7.28626,43.70208,PM10,FR
France,SPO-FR24036_6001,7.28626,43.70208,PM2.5,FR
France,SPO-FR24036_6001,7.28626,43.70208,PM2.5,FR
France,SPO-FR24038_5,6.06724,44.54865,PM10,FR
France,SPO-FR24038_5,6.06724,44.54865,PM10,FR
France,SPO-FR24038_6001,6.06724,44.54865,PM2.5,FR
France,SPO-FR24038_6001,6.06724,44.54865,PM2.5,FR
France,SPO-FR24039_5,5.71181,43.93348,PM10,FR
France,SPO-FR24039_5,5.71181,43.93348,PM10,FR
France,SPO-FR24039_5,5.71181,43.93348,PM10,FR
France,SPO-FR24039_6001,5.71181,43.93348,PM2.5,FR
France,SPO-FR24039_6001,5.71181,43.93348,PM2.5,FR
France,SPO-FR24039_6001,5.71181,43.93348,PM2.5,FR
France,SPO-FR24040_6001,7.04828,43.79191,PM2.5,FR
France,SPO-FR07004_5,3.11383,45.79728,PM10,FR
France,SPO-FR07004_5,3.11383,45.79728,PM10,FR
France,SPO-FR07004_5,3.11383,45.79728,PM10,FR
France,SPO-FR07004_6001,3.11383,45.79728,PM2.5,FR
France,SPO-FR07004_6001,3.11383,45.79728,PM2.5,FR
France,SPO-FR07004_6001,3.11383,45.79728,PM2.5,FR
France,SPO-FR07008_5,3.09458,45.78089,PM10,FR
France,SPO-FR07008_6001,3.09458,45.78089,PM2.5,FR
France,SPO-FR07009_5,3.08750,45.77217,PM10,FR
France,SPO-FR07009_5,3.08750,45.77217,PM10,FR
France,SPO-FR07009_5,3.08750,45.77217,PM10,FR
France,SPO-FR07010_5,2.59800,46.34400,PM10,FR
France,SPO-FR07011_5,2.43678,44.92316,PM10,FR
France,SPO-FR07022_5,3.60067,46.65267,PM10,FR
France,SPO-FR07022_5,3.60067,46.65267,PM10,FR
France,SPO-FR07022_6001,3.60067,46.65267,PM2.5,FR
France,SPO-FR07022_6001,3.60067,46.65267,PM2.5,FR
France,SPO-FR07028_5,2.82981,45.92933,PM10,FR
France,SPO-FR07028_5,2.82981,45.92933,PM10,FR
France,SPO-FR07031_5,3.27736,45.10472,PM10,FR
France,SPO-FR07031_5,3.27736,45.10472,PM10,FR
France,SPO-FR07031_6001,3.27736,45.10472,PM2.5,FR
France,SPO-FR07034_5,3.09625,45.77570,PM10,FR
France,SPO-FR07034_5,3.09625,45.77570,PM10,FR
France,SPO-FR07034_6001,3.09625,45.77570,PM2.5,FR
France,SPO-FR07034_6001,3.09625,45.77570,PM2.5,FR
France,SPO-FR07039_5,3.06298,45.77473,PM10,FR
France,SPO-FR07039_5,3.06298,45.77473,PM10,FR
France,SPO-FR07039_5,3.06298,45.77473,PM10,FR
France,SPO-FR07039_5,3.06298,45.77473,PM10,FR
France,SPO-FR07043_5,3.88881,45.04286,PM10,FR
France,SPO-FR07045_5,3.24825,45.54542,PM10,FR
France,SPO-FR07049_5,3.33109,46.56187,PM10,FR
France,SPO-FR07051_5,3.15500,45.76900,PM10,FR
France,SPO-FR07051_5,3.15500,45.76900,PM10,FR
France,SPO-FR07051_5,3.15500,45.76900,PM10,FR
France,SPO-FR07051_6001,3.15500,45.76900,PM2.5,FR
France,SPO-FR07052_5,2.44108,44.92008,PM10,FR
France,SPO-FR07052_5,2.44108,44.92008,PM10,FR
France,SPO-FR07052_5,2.44108,44.92008,PM10,FR
France,SPO-FR07052_6001,2.44108,44.92008,PM2.5,FR
France,SPO-FR07052_6001,2.44108,44.92008,PM2.5,FR
France,SPO-FR07054_5,3.88700,45.03900,PM10,FR
France,SPO-FR07054_5,3.88700,45.03900,PM10,FR
France,SPO-FR07054_5,3.88700,45.03900,PM10,FR
France,SPO-FR07054_5,3.88700,45.03900,PM10,FR
France,SPO-FR07056_5,4.22601,44.98377,PM10,FR
France,SPO-FR07056_5,4.22601,44.98377,PM10,FR
France,SPO-FR07056_5,4.22601,44.98377,PM10,FR
France,SPO-FR07056_5,4.22601,44.98377,PM10,FR
France,SPO-FR07057_5,3.34064,46.56197,PM10,FR
France,SPO-FR07057_5,3.34064,46.56197,PM10,FR
France,SPO-FR07057_5,3.34064,46.56197,PM10,FR
France,SPO-FR07057_6001,3.34064,46.56197,PM2.5,FR
France,SPO-FR07057_6001,3.34064,46.56197,PM2.5,FR
France,SPO-FR07058_5,2.59395,46.34072,PM10,FR
France,SPO-FR07058_5,2.59395,46.34072,PM10,FR
France,SPO-FR07058_5,2.59395,46.34072,PM10,FR
France,SPO-FR07058_6001,2.59395,46.34072,PM2.5,FR
France,SPO-FR07058_6001,2.59395,46.34072,PM2.5,FR
France,SPO-FR07059_5,3.42569,46.13043,PM10,FR
France,SPO-FR07059_5,3.42569,46.13043,PM10,FR
France,SPO-FR07059_5,3.42569,46.13043,PM10,FR
France,SPO-FR07059_6001,3.42569,46.13043,PM2.5,FR
France,SPO-FR07061_5,3.12225,45.89674,PM10,FR
France,SPO-FR07061_5,3.12225,45.89674,PM10,FR
France,SPO-FR07061_5,3.12225,45.89674,PM10,FR
France,SPO-FR15017_5,5.68702,45.19049,PM10,FR
France,SPO-FR15018_5,5.58942,45.36018,PM10,FR
France,SPO-FR15018_5,5.58942,45.36018,PM10,FR
France,SPO-FR15018_5,5.58942,45.36018,PM10,FR
France,SPO-FR15018_5,5.58942,45.36018,PM10,FR
France,SPO-FR15018_5,5.58942,45.36018,PM10,FR
France,SPO-FR15038_5,5.75310,45.18280,PM10,FR
France,SPO-FR15038_5,5.75310,45.18280,PM10,FR
France,SPO-FR15038_5,5.75310,45.18280,PM10,FR
France,SPO-FR15038_6001,5.75310,45.18280,PM2.5,FR
France,SPO-FR15039_5,5.70376,45.15836,PM10,FR
France,SPO-FR15039_5,5.70376,45.15836,PM10,FR
France,SPO-FR15039_5,5.70376,45.15836,PM10,FR
France,SPO-FR15039_6001,5.70376,45.15836,PM2.5,FR
France,SPO-FR15039_6001,5.70376,45.15836,PM2.5,FR
France,SPO-FR15043_5,5.73560,45.16190,PM10,FR
France,SPO-FR15043_5,5.73560,45.16190,PM10,FR
France,SPO-FR15043_6001,5.73560,45.16190,PM2.5,FR
France,SPO-FR15043_6001,5.73560,45.16190,PM2.5,FR
France,SPO-FR15045_5,5.67670,45.05780,PM10,FR
France,SPO-FR15045_5,5.67670,45.05780,PM10,FR
France,SPO-FR15045_5,5.67670,45.05780,PM10,FR
France,SPO-FR15046_5,5.72063,45.18069,PM10,FR
France,SPO-FR15046_5,5.72063,45.18069,PM10,FR
France,SPO-FR15046_5,5.72063,45.18069,PM10,FR
France,SPO-FR15048_5,5.88220,45.27970,PM10,FR
France,SPO-FR15048_5,5.88220,45.27970,PM10,FR
France,SPO-FR15048_5,5.88220,45.27970,PM10,FR
France,SPO-FR15048_6001,5.88220,45.27970,PM2.5,FR
France,SPO-FR15053_5,5.74523,45.15467,PM10,FR
France,SPO-FR15053_6001,5.74523,45.15467,PM2.5,FR
France,SPO-FR20013_5,4.81816,45.72002,PM10,FR
France,SPO-FR20013_5,4.81816,45.72002,PM10,FR
France,SPO-FR20013_5,4.81816,45.72002,PM10,FR
France,SPO-FR20013_5,4.81816,45.72002,PM10,FR
